,date,value_og
725,1987-12-01,
726,1988-01-01,
727,1988-02-01,
728,1988-03-01,
729,1988-04-01,
730,1988-05-01,
731,1988-06-01,
732,1988-07-01,
733,1988-08-01,
734,1988-09-01,
735,1988-10-01,
736,1988-11-01,
737,1988-12-01,
738,1989-01-01,
739,1989-02-01,
740,1989-03-01,
741,1989-04-01,
742,1989-05-01,
743,1989-06-01,
744,1989-07-01,
745,1989-08-01,
746,1989-09-01,
747,1989-10-01,
748,1989-11-01,
749,1989-12-01,
750,1990-01-01,
751,1990-02-01,
752,1990-03-01,
753,1990-04-01,
754,1990-05-01,
755,1990-06-01,
756,1990-07-01,
757,1990-08-01,
758,1990-09-01,
759,1990-10-01,
760,1990-11-01,
761,1990-12-01,
762,1991-01-01,
763,1991-02-01,
764,1991-03-01,
765,1991-04-01,
766,1991-05-01,
767,1991-06-01,
768,1991-07-01,
769,1991-08-01,
770,1991-09-01,
771,1991-10-01,
772,1991-11-01,
773,1991-12-01,
0,1992-01-01,
1,1992-02-01,
2,1992-03-01,
3,1992-04-01,
4,1992-05-01,
5,1992-06-01,
6,1992-07-01,
7,1992-08-01,
8,1992-09-01,
9,1992-10-01,
10,1992-11-01,
11,1992-12-01,
12,1993-01-01,
13,1993-02-01,
14,1993-03-01,
15,1993-04-01,
16,1993-05-01,
17,1993-06-01,
18,1993-07-01,
19,1993-08-01,
20,1993-09-01,
21,1993-10-01,
22,1993-11-01,
23,1993-12-01,
24,1994-01-01,
25,1994-02-01,
26,1994-03-01,
27,1994-04-01,
28,1994-05-01,
29,1994-06-01,
30,1994-07-01,
31,1994-08-01,
32,1994-09-01,
33,1994-10-01,
34,1994-11-01,
35,1994-12-01,
36,1995-01-01,
37,1995-02-01,
38,1995-03-01,
39,1995-04-01,
40,1995-05-01,
41,1995-06-01,
42,1995-07-01,
43,1995-08-01,
44,1995-09-01,
45,1995-10-01,
46,1995-11-01,
47,1995-12-01,
48,1996-01-01,
49,1996-02-01,
50,1996-03-01,
51,1996-04-01,
52,1996-05-01,
53,1996-06-01,
54,1996-07-01,
55,1996-08-01,
56,1996-09-01,
57,1996-10-01,
58,1996-11-01,
59,1996-12-01,
60,1997-01-01,
61,1997-02-01,
62,1997-03-01,
63,1997-04-01,
64,1997-05-01,
65,1997-06-01,
66,1997-07-01,
67,1997-08-01,
68,1997-09-01,
69,1997-10-01,
70,1997-11-01,
71,1997-12-01,
72,1998-01-01,
73,1998-02-01,
74,1998-03-01,
75,1998-04-01,
76,1998-05-01,
77,1998-06-01,
78,1998-07-01,
79,1998-08-01,
80,1998-09-01,
81,1998-10-01,
82,1998-11-01,
83,1998-12-01,
84,1999-01-01,
85,1999-02-01,
86,1999-03-01,
87,1999-04-01,
88,1999-05-01,
89,1999-06-01,
90,1999-07-01,
91,1999-08-01,
92,1999-09-01,
93,1999-10-01,
94,1999-11-01,
95,1999-12-01,
96,2000-01-01,
97,2000-02-01,
98,2000-03-01,
99,2000-04-01,
100,2000-05-01,
101,2000-06-01,
102,2000-07-01,
103,2000-08-01,
104,2000-09-01,
105,2000-10-01,
106,2000-11-01,
107,2000-12-01,
108,2001-01-01,
109,2001-02-01,
110,2001-03-01,
111,2001-04-01,
112,2001-05-01,
113,2001-06-01,292897.0
114,2001-07-01,291672.0
115,2001-08-01,293083.0
116,2001-09-01,286515.0
117,2001-10-01,306826.0
118,2001-11-01,293584.0
119,2001-12-01,295108.0
120,2002-01-01,295714.0
121,2002-02-01,296414.0
122,2002-03-01,297342.0
123,2002-04-01,300267.0
124,2002-05-01,297029.0
125,2002-06-01,299532.0
126,2002-07-01,304279.0
127,2002-08-01,306208.0
128,2002-09-01,302461.0
129,2002-10-01,301695.0
130,2002-11-01,302529.0
131,2002-12-01,307970.0
132,2003-01-01,306570.0
133,2003-02-01,304092.0
134,2003-03-01,311472.0
135,2003-04-01,309455.0
136,2003-05-01,308779.0
137,2003-06-01,310417.0
138,2003-07-01,317194.0
139,2003-08-01,319192.0
140,2003-09-01,320584.0
141,2003-10-01,318490.0
142,2003-11-01,322356.0
143,2003-12-01,325036.0
144,2004-01-01,322867.0
145,2004-02-01,327168.0
146,2004-03-01,333012.0
147,2004-04-01,331842.0
148,2004-05-01,335801.0
149,2004-06-01,331896.0
150,2004-07-01,336495.0
151,2004-08-01,335239.0
152,2004-09-01,341273.0
153,2004-10-01,342115.0
154,2004-11-01,344375.0
155,2004-12-01,349436.0
156,2005-01-01,347665.0
157,2005-02-01,352138.0
158,2005-03-01,339299.0
159,2005-04-01,344895.0
160,2005-05-01,343623.0
161,2005-06-01,350775.0
162,2005-07-01,357013.0
163,2005-08-01,350106.0
164,2005-09-01,351461.0
165,2005-10-01,351561.0
166,2005-11-01,353866.0
167,2005-12-01,357841.0
168,2006-01-01,365369.0
169,2006-02-01,362294.0
170,2006-03-01,361046.0
171,2006-04-01,362676.0
172,2006-05-01,364198.0
173,2006-06-01,363806.0
174,2006-07-01,367941.0
175,2006-08-01,368233.0
176,2006-09-01,366166.0
177,2006-10-01,363673.0
178,2006-11-01,368861.0
179,2006-12-01,369865.0
180,2007-01-01,370418.0
181,2007-02-01,370495.0
182,2007-03-01,371567.0
183,2007-04-01,372034.0
184,2007-05-01,377885.0
185,2007-06-01,373946.0
186,2007-07-01,376051.0
187,2007-08-01,377615.0
188,2007-09-01,380230.0
189,2007-10-01,380259.0
190,2007-11-01,385753.0
191,2007-12-01,382928.0
192,2008-01-01,382906.0
193,2008-02-01,380197.0
194,2008-03-01,381416.0
195,2008-04-01,378148.0
196,2008-05-01,385448.0
197,2008-06-01,384211.0
198,2008-07-01,384631.0
199,2008-08-01,381169.0
200,2008-09-01,375473.0
201,2008-10-01,363696.0
202,2008-11-01,355655.0
203,2008-12-01,343242.0
204,2009-01-01,344649.0
205,2009-02-01,346810.0
206,2009-03-01,344380.0
207,2009-04-01,337677.0
208,2009-05-01,339993.0
209,2009-06-01,342138.0
210,2009-07-01,342309.0
211,2009-08-01,351418.0
212,2009-09-01,344688.0
213,2009-10-01,347483.0
214,2009-11-01,352073.0
215,2009-12-01,352985.0
216,2010-01-01,355777.0
217,2010-02-01,355546.0
218,2010-03-01,363194.0
219,2010-04-01,366404.0
220,2010-05-01,362517.0
221,2010-06-01,360156.0
222,2010-07-01,362688.0
223,2010-08-01,363704.0
224,2010-09-01,367670.0
225,2010-10-01,373103.0
226,2010-11-01,378706.0
227,2010-12-01,380869.0
228,2011-01-01,381565.0
229,2011-02-01,387123.0
230,2011-03-01,389320.0
231,2011-04-01,389355.0
232,2011-05-01,387117.0
233,2011-06-01,387789.0
234,2011-07-01,390422.0
235,2011-08-01,389502.0
236,2011-09-01,395472.0
237,2011-10-01,397666.0
238,2011-11-01,399349.0
239,2011-12-01,400614.0
240,2012-01-01,401400.0
241,2012-02-01,407805.0
242,2012-03-01,411069.0
243,2012-04-01,408039.0
244,2012-05-01,404596.0
245,2012-06-01,401515.0
246,2012-07-01,403929.0
247,2012-08-01,406748.0
248,2012-09-01,412939.0
249,2012-10-01,411591.0
250,2012-11-01,412403.0
251,2012-12-01,415695.0
252,2013-01-01,416633.0
253,2013-02-01,421399.0
254,2013-03-01,418284.0
255,2013-04-01,419027.0
256,2013-05-01,421147.0
257,2013-06-01,422794.0
258,2013-07-01,424481.0
259,2013-08-01,426563.0
260,2013-09-01,425881.0
261,2013-10-01,428099.0
262,2013-11-01,432310.0
263,2013-12-01,431879.0
264,2014-01-01,427829.0
265,2014-02-01,427186.0
266,2014-03-01,433907.0
267,2014-04-01,434571.0
268,2014-05-01,437648.0
269,2014-06-01,439891.0
270,2014-07-01,439802.0
271,2014-08-01,444377.0
272,2014-09-01,442689.0
273,2014-10-01,444491.0
274,2014-11-01,449282.0
275,2014-12-01,442931.0
276,2015-01-01,439771.0
277,2015-02-01,437006.0
278,2015-03-01,441363.0
279,2015-04-01,436772.0
280,2015-05-01,444926.0
281,2015-06-01,442032.0
282,2015-07-01,446477.0
283,2015-08-01,447715.0
284,2015-09-01,447686.0
285,2015-10-01,447255.0
286,2015-11-01,448117.0
287,2015-12-01,448086.0
288,2016-01-01,449904.0
289,2016-02-01,447308.0
290,2016-03-01,446887.0
291,2016-04-01,453438.0
292,2016-05-01,455644.0
293,2016-06-01,456978.0
294,2016-07-01,457727.0
295,2016-08-01,456321.0
296,2016-09-01,459821.0
297,2016-10-01,465914.0
298,2016-11-01,465513.0
299,2016-12-01,469092.0
300,2017-01-01,472142.0
301,2017-02-01,473991.0
302,2017-03-01,470844.0
303,2017-04-01,474948.0
304,2017-05-01,473808.0
305,2017-06-01,473513.0
306,2017-07-01,478873.0
307,2017-08-01,474841.0
308,2017-09-01,483895.0
309,2017-10-01,486553.0
310,2017-11-01,492717.0
311,2017-12-01,495381.0
312,2018-01-01,492003.0
313,2018-02-01,492008.0
314,2018-03-01,494555.0
315,2018-04-01,497559.0
316,2018-05-01,501971.0
317,2018-06-01,506787.0
318,2018-07-01,507533.0
319,2018-08-01,509025.0
320,2018-09-01,509041.0
321,2018-10-01,511488.0
322,2018-11-01,513531.0
323,2018-12-01,505826.0
324,2019-01-01,504440.0
325,2019-02-01,505969.0
326,2019-03-01,514062.0
327,2019-04-01,513356.0
328,2019-05-01,519020.0
329,2019-06-01,519885.0
330,2019-07-01,523514.0
331,2019-08-01,526057.0
332,2019-09-01,525560.0
333,2019-10-01,526540.0
334,2019-11-01,527994.0
335,2019-12-01,529606.0
336,2020-01-01,529766.0
337,2020-02-01,528113.0
338,2020-03-01,483066.0
339,2020-04-01,403946.0
340,2020-05-01,485545.0
341,2020-06-01,524306.0
342,2020-07-01,535982.0
343,2020-08-01,537526.0
344,2020-09-01,549256.0
345,2020-10-01,553329.0
346,2020-11-01,546504.0
347,2020-12-01,540915.0
348,2021-01-01,568215.0
349,2021-02-01,561685.0
350,2021-03-01,619105.0
351,2021-04-01,619923.0
352,2021-05-01,620214.0
353,2021-06-01,621340.0
354,2021-07-01,617719.0
355,2021-08-01,618676.0
356,2021-09-01,625416.0
357,2021-10-01,638189.0
358,2021-11-01,639829.0
359,2021-12-01,626833.0
360,2022-01-01,649776.0
361,2022-02-01,658128.0
362,2022-03-01,665726.0
363,2022-04-01,677711.0
364,2022-05-01,672874.0
365,2022-06-01,680591.0
366,2022-07-01,682815.0
367,2022-08-01,683291.0
368,2022-09-01,683974.0
369,2022-10-01,694518.0
370,2022-11-01,689443.0
371,2022-12-01,677136.0
372,2023-01-01,696982.0
373,2023-02-01,697876.0
374,2023-03-01,691671.0
375,2023-04-01,686052.0
376,2023-05-01,686573.0
377,2023-06-01,689499.0
774,,
