,date,value_og
589,1985-08-01,
590,1985-09-01,
591,1985-10-01,
592,1985-11-01,
593,1985-12-01,
594,1986-01-01,
595,1986-02-01,
596,1986-03-01,
597,1986-04-01,
598,1986-05-01,
599,1986-06-01,
600,1986-07-01,
601,1986-08-01,
602,1986-09-01,
603,1986-10-01,
604,1986-11-01,
605,1986-12-01,
606,1987-01-01,
607,1987-02-01,
608,1987-03-01,
609,1987-04-01,
610,1987-05-01,
611,1987-06-01,
612,1987-07-01,
613,1987-08-01,
614,1987-09-01,
615,1987-10-01,
616,1987-11-01,
617,1987-12-01,
618,1988-01-01,
619,1988-02-01,
620,1988-03-01,
621,1988-04-01,
622,1988-05-01,
623,1988-06-01,
624,1988-07-01,
625,1988-08-01,
626,1988-09-01,
627,1988-10-01,
628,1988-11-01,
629,1988-12-01,
630,1989-01-01,
631,1989-02-01,
632,1989-03-01,
633,1989-04-01,
634,1989-05-01,
635,1989-06-01,
636,1989-07-01,
637,1989-08-01,
638,1989-09-01,
639,1989-10-01,
640,1989-11-01,
641,1989-12-01,
642,1990-01-01,
643,1990-02-01,
644,1990-03-01,
645,1990-04-01,
646,1990-05-01,
647,1990-06-01,
648,1990-07-01,
649,1990-08-01,
650,1990-09-01,
651,1990-10-01,
652,1990-11-01,
653,1990-12-01,
654,1991-01-01,
655,1991-02-01,
656,1991-03-01,
657,1991-04-01,
658,1991-05-01,
659,1991-06-01,
660,1991-07-01,
661,1991-08-01,
662,1991-09-01,
663,1991-10-01,
664,1991-11-01,
665,1991-12-01,
666,1992-01-01,
667,1992-02-01,
668,1992-03-01,
669,1992-04-01,
670,1992-05-01,
671,1992-06-01,
672,1992-07-01,
673,1992-08-01,
674,1992-09-01,
675,1992-10-01,
676,1992-11-01,
677,1992-12-01,
678,1993-01-01,
679,1993-02-01,
680,1993-03-01,
681,1993-04-01,
682,1993-05-01,
683,1993-06-01,
684,1993-07-01,
685,1993-08-01,
686,1993-09-01,
687,1993-10-01,
688,1993-11-01,
689,1993-12-01,
690,1994-01-01,
691,1994-02-01,
692,1994-03-01,
693,1994-04-01,
694,1994-05-01,
695,1994-06-01,
696,1994-07-01,
697,1994-08-01,
698,1994-09-01,
699,1994-10-01,
700,1994-11-01,
701,1994-12-01,
702,1995-01-01,
703,1995-02-01,
704,1995-03-01,
705,1995-04-01,
706,1995-05-01,
707,1995-06-01,
708,1995-07-01,
709,1995-08-01,
710,1995-09-01,
711,1995-10-01,
712,1995-11-01,
713,1995-12-01,
714,1996-01-01,
715,1996-02-01,
716,1996-03-01,
717,1996-04-01,
718,1996-05-01,
719,1996-06-01,
720,1996-07-01,
721,1996-08-01,
722,1996-09-01,
723,1996-10-01,
724,1996-11-01,
725,1996-12-01,
726,1997-01-01,
727,1997-02-01,
728,1997-03-01,
729,1997-04-01,
730,1997-05-01,
731,1997-06-01,
732,1997-07-01,
733,1997-08-01,
734,1997-09-01,
735,1997-10-01,
736,1997-11-01,
737,1997-12-01,
738,1998-01-01,
739,1998-02-01,
740,1998-03-01,
741,1998-04-01,
742,1998-05-01,
743,1998-06-01,
744,1998-07-01,
745,1998-08-01,
746,1998-09-01,
747,1998-10-01,
748,1998-11-01,
749,1998-12-01,
750,1999-01-01,
751,1999-02-01,
752,1999-03-01,
753,1999-04-01,
754,1999-05-01,
755,1999-06-01,
756,1999-07-01,
757,1999-08-01,
758,1999-09-01,
759,1999-10-01,
760,1999-11-01,
761,1999-12-01,
762,2000-01-01,
763,2000-02-01,
764,2000-03-01,
765,2000-04-01,
766,2000-05-01,
767,2000-06-01,
768,2000-07-01,
769,2000-08-01,
770,2000-09-01,
771,2000-10-01,
772,2000-11-01,
0,2000-12-01,
1,2001-01-01,
2,2001-02-01,
3,2001-03-01,
4,2001-04-01,
5,2001-05-01,
6,2001-06-01,
7,2001-07-01,
8,2001-08-01,
9,2001-09-01,
10,2001-10-01,
11,2001-11-01,
12,2001-12-01,
13,2002-01-01,
14,2002-02-01,
15,2002-03-01,
16,2002-04-01,
17,2002-05-01,
18,2002-06-01,
19,2002-07-01,
20,2002-08-01,
21,2002-09-01,
22,2002-10-01,
23,2002-11-01,
24,2002-12-01,
25,2003-01-01,
26,2003-02-01,
27,2003-03-01,
28,2003-04-01,
29,2003-05-01,
30,2003-06-01,
31,2003-07-01,
32,2003-08-01,
33,2003-09-01,
34,2003-10-01,
35,2003-11-01,
36,2003-12-01,
37,2004-01-01,
38,2004-02-01,
39,2004-03-01,
40,2004-04-01,
41,2004-05-01,
42,2004-06-01,
43,2004-07-01,
44,2004-08-01,
45,2004-09-01,
46,2004-10-01,
47,2004-11-01,
48,2004-12-01,
49,2005-01-01,
50,2005-02-01,
51,2005-03-01,
52,2005-04-01,
53,2005-05-01,
54,2005-06-01,
55,2005-07-01,
56,2005-08-01,
57,2005-09-01,
58,2005-10-01,
59,2005-11-01,
60,2005-12-01,
61,2006-01-01,
62,2006-02-01,
63,2006-03-01,
64,2006-04-01,
65,2006-05-01,
66,2006-06-01,
67,2006-07-01,
68,2006-08-01,
69,2006-09-01,
70,2006-10-01,
71,2006-11-01,
72,2006-12-01,
73,2007-01-01,
74,2007-02-01,
75,2007-03-01,
76,2007-04-01,
77,2007-05-01,
78,2007-06-01,
79,2007-07-01,
80,2007-08-01,
81,2007-09-01,
82,2007-10-01,
83,2007-11-01,
84,2007-12-01,
85,2008-01-01,
86,2008-02-01,
87,2008-03-01,
88,2008-04-01,
89,2008-05-01,
90,2008-06-01,
91,2008-07-01,
92,2008-08-01,
93,2008-09-01,
94,2008-10-01,
95,2008-11-01,
96,2008-12-01,
97,2009-01-01,
98,2009-02-01,
99,2009-03-01,
100,2009-04-01,
101,2009-05-01,
102,2009-06-01,
103,2009-07-01,
104,2009-08-01,
105,2009-09-01,
106,2009-10-01,
107,2009-11-01,
108,2009-12-01,
109,2010-01-01,
110,2010-02-01,
111,2010-03-01,
112,2010-04-01,
113,2010-05-01,
114,2010-06-01,
115,2010-07-01,3042.0
116,2010-08-01,3201.0
117,2010-09-01,2929.0
118,2010-10-01,3362.0
119,2010-11-01,3248.0
120,2010-12-01,3063.0
121,2011-01-01,2760.0
122,2011-02-01,3093.0
123,2011-03-01,3124.0
124,2011-04-01,2972.0
125,2011-05-01,2974.0
126,2011-06-01,3109.0
127,2011-07-01,3228.0
128,2011-08-01,3056.0
129,2011-09-01,3354.0
130,2011-10-01,3267.0
131,2011-11-01,3161.0
132,2011-12-01,3376.0
133,2012-01-01,3459.0
134,2012-02-01,3498.0
135,2012-03-01,3737.0
136,2012-04-01,3416.0
137,2012-05-01,3642.0
138,2012-06-01,3762.0
139,2012-07-01,3664.0
140,2012-08-01,3561.0
141,2012-09-01,3561.0
142,2012-10-01,3675.0
143,2012-11-01,3676.0
144,2012-12-01,3617.0
145,2013-01-01,3693.0
146,2013-02-01,3925.0
147,2013-03-01,3844.0
148,2013-04-01,3757.0
149,2013-05-01,3828.0
150,2013-06-01,3936.0
151,2013-07-01,3689.0
152,2013-08-01,3883.0
153,2013-09-01,3913.0
154,2013-10-01,3925.0
155,2013-11-01,4001.0
156,2013-12-01,3990.0
157,2014-01-01,3974.0
158,2014-02-01,4173.0
159,2014-03-01,4014.0
160,2014-04-01,4455.0
161,2014-05-01,4635.0
162,2014-06-01,4671.0
163,2014-07-01,4673.0
164,2014-08-01,4835.0
165,2014-09-01,4735.0
166,2014-10-01,4834.0
167,2014-11-01,4972.0
168,2014-12-01,5028.0
169,2015-01-01,4998.0
170,2015-02-01,5133.0
171,2015-03-01,4994.0
172,2015-04-01,5376.0
173,2015-05-01,5363.0
174,2015-06-01,5249.0
175,2015-07-01,5753.0
176,2015-08-01,5370.0
177,2015-09-01,5526.0
178,2015-10-01,5383.0
179,2015-11-01,5431.0
180,2015-12-01,5607.0
181,2016-01-01,5541.0
182,2016-02-01,5445.0
183,2016-03-01,5757.0
184,2016-04-01,5788.0
185,2016-05-01,5500.0
186,2016-06-01,5624.0
187,2016-07-01,5871.0
188,2016-08-01,5443.0
189,2016-09-01,5486.0
190,2016-10-01,5534.0
191,2016-11-01,5522.0
192,2016-12-01,5501.0
193,2017-01-01,5626.0
194,2017-02-01,5743.0
195,2017-03-01,5743.0
196,2017-04-01,6044.0
197,2017-05-01,5666.0
198,2017-06-01,6163.0
199,2017-07-01,6170.0
200,2017-08-01,6082.0
201,2017-09-01,6093.0
202,2017-10-01,5996.0
203,2017-11-01,5879.0
204,2017-12-01,5811.0
205,2018-01-01,6312.0
206,2018-02-01,6052.0
207,2018-03-01,6550.0
208,2018-04-01,6698.0
209,2018-05-01,6638.0
210,2018-06-01,6662.0
211,2018-07-01,6939.0
212,2018-08-01,7136.0
213,2018-09-01,7009.0
214,2018-10-01,7079.0
215,2018-11-01,6888.0
216,2018-12-01,7335.0
217,2019-01-01,7581.0
218,2019-02-01,7087.0
219,2019-03-01,7488.0
220,2019-04-01,7449.0
221,2019-05-01,7323.0
222,2019-06-01,7348.0
223,2019-07-01,7217.0
224,2019-08-01,7051.0
225,2019-09-01,7024.0
226,2019-10-01,7267.0
227,2019-11-01,6800.0
228,2019-12-01,6423.0
229,2020-01-01,6963.0
230,2020-02-01,6882.0
231,2020-03-01,6191.0
232,2020-04-01,5046.0
233,2020-05-01,5397.0
234,2020-06-01,5889.0
235,2020-07-01,6618.0
236,2020-08-01,6493.0
237,2020-09-01,6436.0
238,2020-10-01,6652.0
239,2020-11-01,6527.0
240,2020-12-01,6646.0
241,2021-01-01,6917.0
242,2021-02-01,7367.0
243,2021-03-01,8123.0
244,2021-04-01,9286.0
245,2021-05-01,9209.0
246,2021-06-01,10073.0
247,2021-07-01,10934.0
248,2021-08-01,10439.0
249,2021-09-01,10438.0
250,2021-10-01,11033.0
251,2021-11-01,10562.0
252,2021-12-01,10925.0
253,2022-01-01,11263.0
254,2022-02-01,11266.0
255,2022-03-01,11549.0
256,2022-04-01,11400.0
257,2022-05-01,11254.0
258,2022-06-01,10698.0
259,2022-07-01,11239.0
260,2022-08-01,10053.0
261,2022-09-01,10717.0
262,2022-10-01,10334.0
263,2022-11-01,10458.0
264,2022-12-01,11012.0
265,2023-01-01,10824.0
266,2023-02-01,9931.0
267,2023-03-01,9590.0
268,2023-04-01,10103.0
269,2023-05-01,9824.0
773,2023-06-01,
774,,
