,date,value_og
47,1984-01-01,5540.0
48,1984-02-01,5563.0
49,1984-03-01,5571.0
50,1984-04-01,5599.0
51,1984-05-01,5650.0
52,1984-06-01,5665.0
53,1984-07-01,5677.0
54,1984-08-01,5692.0
55,1984-09-01,5682.0
56,1984-10-01,5712.0
57,1984-11-01,5725.0
58,1984-12-01,5748.0
59,1985-01-01,5761.0
60,1985-02-01,5790.0
61,1985-03-01,5828.0
62,1985-04-01,5858.0
63,1985-05-01,5891.0
64,1985-06-01,5909.0
65,1985-07-01,5931.0
66,1985-08-01,5972.0
67,1985-09-01,5984.0
68,1985-10-01,6002.0
69,1985-11-01,6040.0
70,1985-12-01,6066.0
71,1986-01-01,6104.0
72,1986-02-01,6128.0
73,1986-03-01,6151.0
74,1986-04-01,6206.0
75,1986-05-01,6259.0
76,1986-06-01,6275.0
77,1986-07-01,6330.0
78,1986-08-01,6376.0
79,1986-09-01,6385.0
80,1986-10-01,6399.0
81,1986-11-01,6436.0
82,1986-12-01,6466.0
83,1987-01-01,6491.0
84,1987-02-01,6512.0
85,1987-03-01,6554.0
86,1987-04-01,6581.0
87,1987-05-01,6577.0
88,1987-06-01,6585.0
89,1987-07-01,6614.0
90,1987-08-01,6630.0
91,1987-09-01,6626.0
92,1987-10-01,6633.0
93,1987-11-01,6659.0
94,1987-12-01,6660.0
95,1988-01-01,6671.0
96,1988-02-01,6677.0
97,1988-03-01,6694.0
98,1988-04-01,6718.0
99,1988-05-01,6639.0
100,1988-06-01,6665.0
101,1988-07-01,6678.0
102,1988-08-01,6696.0
103,1988-09-01,6693.0
104,1988-10-01,6700.0
105,1988-11-01,6729.0
106,1988-12-01,6733.0
107,1989-01-01,6735.0
108,1989-02-01,6743.0
109,1989-03-01,6758.0
110,1989-04-01,6755.0
111,1989-05-01,6788.0
112,1989-06-01,6801.0
113,1989-07-01,6812.0
114,1989-08-01,6836.0
115,1989-09-01,6844.0
116,1989-10-01,6852.0
117,1989-11-01,6864.0
118,1989-12-01,6885.0
119,1990-01-01,6892.0
120,1990-02-01,6912.0
121,1990-03-01,6922.0
122,1990-04-01,6926.0
123,1990-05-01,6924.0
124,1990-06-01,6933.0
