,date,value_og
56,1985-08-01,
57,1985-09-01,
58,1985-10-01,
59,1985-11-01,
60,1985-12-01,
61,1986-01-01,
62,1986-02-01,
63,1986-03-01,
64,1986-04-01,
65,1986-05-01,
66,1986-06-01,
67,1986-07-01,
68,1986-08-01,
69,1986-09-01,
70,1986-10-01,
71,1986-11-01,
72,1986-12-01,
73,1987-01-01,
74,1987-02-01,
75,1987-03-01,
76,1987-04-01,
77,1987-05-01,
78,1987-06-01,
79,1987-07-01,
80,1987-08-01,
81,1987-09-01,
82,1987-10-01,
83,1987-11-01,
84,1987-12-01,
85,1988-01-01,
86,1988-02-01,
87,1988-03-01,
88,1988-04-01,
89,1988-05-01,
90,1988-06-01,
91,1988-07-01,
92,1988-08-01,
93,1988-09-01,
94,1988-10-01,
95,1988-11-01,
96,1988-12-01,
97,1989-01-01,
98,1989-02-01,
99,1989-03-01,
100,1989-04-01,
101,1989-05-01,
102,1989-06-01,
103,1989-07-01,
104,1989-08-01,
105,1989-09-01,
106,1989-10-01,
107,1989-11-01,
108,1989-12-01,
109,1990-01-01,
110,1990-02-01,
111,1990-03-01,
112,1990-04-01,
113,1990-05-01,
114,1990-06-01,
115,1990-07-01,
116,1990-08-01,
117,1990-09-01,
118,1990-10-01,
119,1990-11-01,
120,1990-12-01,
121,1991-01-01,
122,1991-02-01,
123,1991-03-01,
124,1991-04-01,
125,1991-05-01,
126,1991-06-01,
127,1991-07-01,
128,1991-08-01,
129,1991-09-01,
130,1991-10-01,
131,1991-11-01,
132,1991-12-01,
133,1992-01-01,
134,1992-02-01,
135,1992-03-01,
136,1992-04-01,
137,1992-05-01,
138,1992-06-01,
139,1992-07-01,
140,1992-08-01,
141,1992-09-01,
142,1992-10-01,
143,1992-11-01,
144,1992-12-01,
145,1993-01-01,
146,1993-02-01,
147,1993-03-01,
148,1993-04-01,
149,1993-05-01,
150,1993-06-01,
151,1993-07-01,
152,1993-08-01,
153,1993-09-01,
154,1993-10-01,
155,1993-11-01,
156,1993-12-01,
157,1994-01-01,
158,1994-02-01,
159,1994-03-01,
160,1994-04-01,
161,1994-05-01,
162,1994-06-01,
163,1994-07-01,
164,1994-08-01,
165,1994-09-01,
166,1994-10-01,
167,1994-11-01,
168,1994-12-01,
169,1995-01-01,
170,1995-02-01,
171,1995-03-01,
172,1995-04-01,
173,1995-05-01,
174,1995-06-01,
175,1995-07-01,
176,1995-08-01,
177,1995-09-01,
178,1995-10-01,
179,1995-11-01,
180,1995-12-01,
181,1996-01-01,
182,1996-02-01,
183,1996-03-01,
184,1996-04-01,
185,1996-05-01,
186,1996-06-01,
187,1996-07-01,
188,1996-08-01,
189,1996-09-01,
190,1996-10-01,1011352.0
191,1996-11-01,1011955.0
192,1996-12-01,1009464.0
193,1997-01-01,1011110.0
194,1997-02-01,1016799.0
195,1997-03-01,1019123.0
196,1997-04-01,1021205.0
197,1997-05-01,1019325.0
198,1997-06-01,1025944.0
199,1997-07-01,1028113.0
200,1997-08-01,1030321.0
201,1997-09-01,1037405.0
202,1997-10-01,1040821.0
203,1997-11-01,1044278.0
204,1997-12-01,1048088.0
205,1998-01-01,1047535.0
206,1998-02-01,1054352.0
207,1998-03-01,1064400.0
208,1998-04-01,1067874.0
209,1998-05-01,1065803.0
210,1998-06-01,1070680.0
211,1998-07-01,1070696.0
212,1998-08-01,1074001.0
213,1998-09-01,1081084.0
214,1998-10-01,1083764.0
215,1998-11-01,1088217.0
216,1998-12-01,1087697.0
217,1999-01-01,1088127.0
218,1999-02-01,1091238.0
219,1999-03-01,1096300.0
220,1999-04-01,1097958.0
221,1999-05-01,1101166.0
222,1999-06-01,1112714.0
223,1999-07-01,1115847.0
224,1999-08-01,1118787.0
225,1999-09-01,1123357.0
226,1999-10-01,1126424.0
227,1999-11-01,1137494.0
228,1999-12-01,1145115.0
229,2000-01-01,1150442.0
230,2000-02-01,1156829.0
231,2000-03-01,1164802.0
232,2000-04-01,1170886.0
233,2000-05-01,1180865.0
234,2000-06-01,1192384.0
235,2000-07-01,1195117.0
236,2000-08-01,1205971.0
237,2000-09-01,1206688.0
238,2000-10-01,1215282.0
239,2000-11-01,1221409.0
240,2000-12-01,1221210.0
241,2001-01-01,1224768.0
242,2001-02-01,1219391.0
243,2001-03-01,1213371.0
244,2001-04-01,1198883.0
245,2001-05-01,1197101.0
246,2001-06-01,1189644.0
247,2001-07-01,1182899.0
248,2001-08-01,1180635.0
249,2001-09-01,1173539.0
250,2001-10-01,1155843.0
251,2001-11-01,1141990.0
252,2001-12-01,1135075.0
253,2002-01-01,1136620.0
254,2002-02-01,1132705.0
255,2002-03-01,1117372.0
256,2002-04-01,1113853.0
257,2002-05-01,1116316.0
258,2002-06-01,1118701.0
259,2002-07-01,1124479.0
260,2002-08-01,1123608.0
261,2002-09-01,1130907.0
262,2002-10-01,1134044.0
263,2002-11-01,1136014.0
264,2002-12-01,1143366.0
265,2003-01-01,1146705.0
266,2003-02-01,1155441.0
267,2003-03-01,1171724.0
268,2003-04-01,1172161.0
269,2003-05-01,1167917.0
270,2003-06-01,1168312.0
271,2003-07-01,1179574.0
272,2003-08-01,1173218.0
273,2003-09-01,1177216.0
274,2003-10-01,1182838.0
275,2003-11-01,1187426.0
276,2003-12-01,1190686.0
277,2004-01-01,1193816.0
278,2004-02-01,1195139.0
279,2004-03-01,1205244.0
280,2004-04-01,1212406.0
281,2004-05-01,1219933.0
282,2004-06-01,1234141.0
283,2004-07-01,1246820.0
284,2004-08-01,1256439.0
285,2004-09-01,1258330.0
286,2004-10-01,1260080.0
287,2004-11-01,1274898.0
288,2004-12-01,1278198.0
289,2005-01-01,1290576.0
290,2005-02-01,1288309.0
291,2005-03-01,1294689.0
292,2005-04-01,1299511.0
293,2005-05-01,1299637.0
294,2005-06-01,1300043.0
295,2005-07-01,1270609.0
296,2005-08-01,1276885.0
297,2005-09-01,1282107.0
298,2005-10-01,1286049.0
299,2005-11-01,1293509.0
300,2005-12-01,1303747.0
301,2006-01-01,1310115.0
302,2006-02-01,1313564.0
303,2006-03-01,1324104.0
304,2006-04-01,1310331.0
305,2006-05-01,1324108.0
306,2006-06-01,1339154.0
307,2006-07-01,1347284.0
308,2006-08-01,1357035.0
309,2006-09-01,1362623.0
310,2006-10-01,1365943.0
311,2006-11-01,1368239.0
312,2006-12-01,1366352.0
313,2007-01-01,1370168.0
314,2007-02-01,1368476.0
315,2007-03-01,1366320.0
316,2007-04-01,1399387.0
317,2007-05-01,1406181.0
318,2007-06-01,1412362.0
319,2007-07-01,1419028.0
320,2007-08-01,1420808.0
321,2007-09-01,1429479.0
322,2007-10-01,1431019.0
323,2007-11-01,1436703.0
324,2007-12-01,1444886.0
325,2008-01-01,1457941.0
326,2008-02-01,1468430.0
327,2008-03-01,1465083.0
328,2008-04-01,1474824.0
329,2008-05-01,1479332.0
330,2008-06-01,1489543.0
331,2008-07-01,1507148.0
332,2008-08-01,1511781.0
333,2008-09-01,1507113.0
334,2008-10-01,1496951.0
335,2008-11-01,1485054.0
336,2008-12-01,1460523.0
337,2009-01-01,1440075.0
338,2009-02-01,1421255.0
339,2009-03-01,1404091.0
340,2009-04-01,1384702.0
341,2009-05-01,1368127.0
342,2009-06-01,1349984.0
343,2009-07-01,1332543.0
344,2009-08-01,1311437.0
345,2009-09-01,1303401.0
346,2009-10-01,1305437.0
347,2009-11-01,1313168.0
348,2009-12-01,1310736.0
349,2010-01-01,1310171.0
350,2010-02-01,1326350.0
351,2010-03-01,1345060.0
352,2010-04-01,1354290.0
353,2010-05-01,1355658.0
354,2010-06-01,1359851.0
355,2010-07-01,1375733.0
356,2010-08-01,1386509.0
357,2010-09-01,1402887.0
358,2010-10-01,1417745.0
359,2010-11-01,1421557.0
360,2010-12-01,1435369.0
361,2011-01-01,1453085.0
362,2011-02-01,1457915.0
363,2011-03-01,1476700.0
364,2011-04-01,1497480.0
365,2011-05-01,1514046.0
366,2011-06-01,1518530.0
367,2011-07-01,1526244.0
368,2011-08-01,1535930.0
369,2011-09-01,1532495.0
370,2011-10-01,1546367.0
371,2011-11-01,1550126.0
372,2011-12-01,1555506.0
373,2012-01-01,1568975.0
374,2012-02-01,1577798.0
375,2012-03-01,1580191.0
376,2012-04-01,1575066.0
377,2012-05-01,1578430.0
378,2012-06-01,1580333.0
379,2012-07-01,1592021.0
380,2012-08-01,1601739.0
381,2012-09-01,1612893.0
382,2012-10-01,1619225.0
383,2012-11-01,1621534.0
384,2012-12-01,1623112.0
385,2013-01-01,1642172.0
386,2013-02-01,1642128.0
387,2013-03-01,1640855.0
388,2013-04-01,1657156.0
389,2013-05-01,1656469.0
390,2013-06-01,1655223.0
391,2013-07-01,1661893.0
392,2013-08-01,1668015.0
393,2013-09-01,1679103.0
394,2013-10-01,1691144.0
395,2013-11-01,1699880.0
396,2013-12-01,1707855.0
397,2014-01-01,1715057.0
398,2014-02-01,1715605.0
399,2014-03-01,1717206.0
400,2014-04-01,1728323.0
401,2014-05-01,1737422.0
402,2014-06-01,1743086.0
403,2014-07-01,1750069.0
404,2014-08-01,1752288.0
405,2014-09-01,1756100.0
406,2014-10-01,1760368.0
407,2014-11-01,1763579.0
408,2014-12-01,1764392.0
409,2015-01-01,1761709.0
410,2015-02-01,1790207.0
411,2015-03-01,1786209.0
412,2015-04-01,1793204.0
413,2015-05-01,1797824.0
414,2015-06-01,1812456.0
415,2015-07-01,1812352.0
416,2015-08-01,1810952.0
417,2015-09-01,1817532.0
418,2015-10-01,1814493.0
419,2015-11-01,1809768.0
420,2015-12-01,1813141.0
421,2016-01-01,1812265.0
422,2016-02-01,1812098.0
423,2016-03-01,1818576.0
424,2016-04-01,1807098.0
425,2016-05-01,1809981.0
426,2016-06-01,1813677.0
427,2016-07-01,1813154.0
428,2016-08-01,1816907.0
429,2016-09-01,1818731.0
430,2016-10-01,1812965.0
431,2016-11-01,1827497.0
432,2016-12-01,1835742.0
433,2017-01-01,1841409.0
434,2017-02-01,1839919.0
435,2017-03-01,1840832.0
436,2017-04-01,1854221.0
437,2017-05-01,1859716.0
438,2017-06-01,1869284.0
439,2017-07-01,1873868.0
440,2017-08-01,1888998.0
441,2017-09-01,1888695.0
442,2017-10-01,1885669.0
443,2017-11-01,1895375.0
444,2017-12-01,1902204.0
445,2018-01-01,1917041.0
446,2018-02-01,1928826.0
447,2018-03-01,1929583.0
448,2018-04-01,1929994.0
449,2018-05-01,1936921.0
450,2018-06-01,1937182.0
451,2018-07-01,1949976.0
452,2018-08-01,1960774.0
453,2018-09-01,1967452.0
454,2018-10-01,1982161.0
455,2018-11-01,1980503.0
456,2018-12-01,1994495.0
457,2019-01-01,2013900.0
458,2019-02-01,2017397.0
459,2019-03-01,2018092.0
460,2019-04-01,2029778.0
461,2019-05-01,2036395.0
462,2019-06-01,2035698.0
463,2019-07-01,2042645.0
464,2019-08-01,2042132.0
465,2019-09-01,2041533.0
466,2019-10-01,2042842.0
467,2019-11-01,2037431.0
468,2019-12-01,2040009.0
469,2020-01-01,2035251.0
470,2020-02-01,2012743.0
471,2020-03-01,2012504.0
472,2020-04-01,1981240.0
473,2020-05-01,1933737.0
474,2020-06-01,1912063.0
475,2020-07-01,1914275.0
476,2020-08-01,1919154.0
477,2020-09-01,1932815.0
478,2020-10-01,1948724.0
479,2020-11-01,1959898.0
480,2020-12-01,1971685.0
481,2021-01-01,1982356.0
482,2021-02-01,2010814.0
483,2021-03-01,2014334.0
484,2021-04-01,2023999.0
485,2021-05-01,2039283.0
486,2021-06-01,2057418.0
487,2021-07-01,2069452.0
488,2021-08-01,2083911.0
489,2021-09-01,2101790.0
490,2021-10-01,2127458.0
491,2021-11-01,2158162.0
492,2021-12-01,2206652.0
493,2022-01-01,2237909.0
494,2022-02-01,2270332.0
495,2022-03-01,2324248.0
496,2022-04-01,2345070.0
497,2022-05-01,2381882.0
498,2022-06-01,2419512.0
499,2022-07-01,2434317.0
500,2022-08-01,2453171.0
501,2022-09-01,2464403.0
502,2022-10-01,2468304.0
503,2022-11-01,2476536.0
504,2022-12-01,2483521.0
505,2023-01-01,2479646.0
506,2023-02-01,2471584.0
507,2023-03-01,2490045.0
508,2023-04-01,2543807.0
509,2023-05-01,2545835.0
773,2023-06-01,
774,,
