,date,value_og
450,1959-01-01,
451,1959-02-01,
452,1959-03-01,
453,1959-04-01,
454,1959-05-01,
455,1959-06-01,
456,1959-07-01,
457,1959-08-01,
458,1959-09-01,
459,1959-10-01,
460,1959-11-01,
461,1959-12-01,
462,1960-01-01,
463,1960-02-01,
464,1960-03-01,
465,1960-04-01,
466,1960-05-01,
467,1960-06-01,
468,1960-07-01,
469,1960-08-01,
470,1960-09-01,
471,1960-10-01,
472,1960-11-01,
473,1960-12-01,
474,1961-01-01,
475,1961-02-01,
476,1961-03-01,
477,1961-04-01,
478,1961-05-01,
479,1961-06-01,
480,1961-07-01,
481,1961-08-01,
482,1961-09-01,
483,1961-10-01,
484,1961-11-01,
485,1961-12-01,
486,1962-01-01,
487,1962-02-01,
488,1962-03-01,
489,1962-04-01,
490,1962-05-01,
491,1962-06-01,
492,1962-07-01,
493,1962-08-01,
494,1962-09-01,
495,1962-10-01,
496,1962-11-01,
497,1962-12-01,
498,1963-01-01,
499,1963-02-01,
500,1963-03-01,
501,1963-04-01,
502,1963-05-01,
503,1963-06-01,
504,1963-07-01,
505,1963-08-01,
506,1963-09-01,
507,1963-10-01,
508,1963-11-01,
509,1963-12-01,
510,1964-01-01,
511,1964-02-01,
512,1964-03-01,
513,1964-04-01,
514,1964-05-01,
515,1964-06-01,
516,1964-07-01,
517,1964-08-01,
518,1964-09-01,
519,1964-10-01,
520,1964-11-01,
521,1964-12-01,
522,1965-01-01,
523,1965-02-01,
524,1965-03-01,
525,1965-04-01,
526,1965-05-01,
527,1965-06-01,
528,1965-07-01,
529,1965-08-01,
530,1965-09-01,
531,1965-10-01,
532,1965-11-01,
533,1965-12-01,
534,1966-01-01,
535,1966-02-01,
536,1966-03-01,
537,1966-04-01,
538,1966-05-01,
539,1966-06-01,
540,1966-07-01,
541,1966-08-01,
542,1966-09-01,
543,1966-10-01,
544,1966-11-01,
545,1966-12-01,
546,1967-01-01,
547,1967-02-01,
548,1967-03-01,
549,1967-04-01,
550,1967-05-01,
551,1967-06-01,
552,1967-07-01,
553,1967-08-01,
554,1967-09-01,
555,1967-10-01,
556,1967-11-01,
557,1967-12-01,
558,1968-01-01,
559,1968-02-01,
560,1968-03-01,
561,1968-04-01,
562,1968-05-01,
563,1968-06-01,
564,1968-07-01,
565,1968-08-01,
566,1968-09-01,
567,1968-10-01,
568,1968-11-01,
569,1968-12-01,
570,1969-01-01,
571,1969-02-01,
572,1969-03-01,
573,1969-04-01,
574,1969-05-01,
575,1969-06-01,
576,1969-07-01,
577,1969-08-01,
578,1969-09-01,
579,1969-10-01,
580,1969-11-01,
581,1969-12-01,
582,1970-01-01,
583,1970-02-01,
584,1970-03-01,
585,1970-04-01,
586,1970-05-01,
587,1970-06-01,
588,1970-07-01,
589,1970-08-01,
590,1970-09-01,
591,1970-10-01,
592,1970-11-01,
593,1970-12-01,
594,1971-01-01,
595,1971-02-01,
596,1971-03-01,
597,1971-04-01,
598,1971-05-01,
599,1971-06-01,
600,1971-07-01,
601,1971-08-01,
602,1971-09-01,
603,1971-10-01,
604,1971-11-01,
605,1971-12-01,
606,1972-01-01,
607,1972-02-01,
608,1972-03-01,
609,1972-04-01,
610,1972-05-01,
611,1972-06-01,
612,1972-07-01,
613,1972-08-01,
614,1972-09-01,
615,1972-10-01,
616,1972-11-01,
617,1972-12-01,
618,1973-01-01,
619,1973-02-01,
620,1973-03-01,
621,1973-04-01,
622,1973-05-01,
623,1973-06-01,
624,1973-07-01,
625,1973-08-01,
626,1973-09-01,
627,1973-10-01,
628,1973-11-01,
629,1973-12-01,
630,1974-01-01,
631,1974-02-01,
632,1974-03-01,
633,1974-04-01,
634,1974-05-01,
635,1974-06-01,
636,1974-07-01,
637,1974-08-01,
638,1974-09-01,
639,1974-10-01,
640,1974-11-01,
641,1974-12-01,
642,1975-01-01,
643,1975-02-01,
644,1975-03-01,
645,1975-04-01,
646,1975-05-01,
647,1975-06-01,
648,1975-07-01,
649,1975-08-01,
650,1975-09-01,
651,1975-10-01,
652,1975-11-01,
653,1975-12-01,
654,1976-01-01,
655,1976-02-01,
656,1976-03-01,
657,1976-04-01,
658,1976-05-01,
659,1976-06-01,
660,1976-07-01,
661,1976-08-01,
662,1976-09-01,
663,1976-10-01,
664,1976-11-01,
665,1976-12-01,
666,1977-01-01,
667,1977-02-01,
668,1977-03-01,
669,1977-04-01,
670,1977-05-01,
671,1977-06-01,
672,1977-07-01,
673,1977-08-01,
674,1977-09-01,
675,1977-10-01,
676,1977-11-01,
677,1977-12-01,
678,1978-01-01,
679,1978-02-01,
680,1978-03-01,
681,1978-04-01,
682,1978-05-01,
683,1978-06-01,
684,1978-07-01,
685,1978-08-01,
686,1978-09-01,
687,1978-10-01,
688,1978-11-01,
689,1978-12-01,
690,1979-01-01,
691,1979-02-01,
692,1979-03-01,
693,1979-04-01,
694,1979-05-01,
695,1979-06-01,
696,1979-07-01,
697,1979-08-01,
698,1979-09-01,
699,1979-10-01,
700,1979-11-01,
701,1979-12-01,
702,1980-01-01,
703,1980-02-01,
704,1980-03-01,
705,1980-04-01,
706,1980-05-01,
707,1980-06-01,
708,1980-07-01,
709,1980-08-01,
710,1980-09-01,
711,1980-10-01,
712,1980-11-01,
713,1980-12-01,
714,1981-01-01,
715,1981-02-01,
716,1981-03-01,
717,1981-04-01,
718,1981-05-01,
719,1981-06-01,
720,1981-07-01,
721,1981-08-01,
722,1981-09-01,
723,1981-10-01,
724,1981-11-01,
725,1981-12-01,
726,1982-01-01,
727,1982-02-01,
728,1982-03-01,
729,1982-04-01,
730,1982-05-01,
731,1982-06-01,
732,1982-07-01,
733,1982-08-01,
734,1982-09-01,
735,1982-10-01,
736,1982-11-01,
737,1982-12-01,
738,1983-01-01,
739,1983-02-01,
740,1983-03-01,
741,1983-04-01,
742,1983-05-01,
743,1983-06-01,
744,1983-07-01,
745,1983-08-01,
746,1983-09-01,
747,1983-10-01,
748,1983-11-01,
749,1983-12-01,
750,1984-01-01,
751,1984-02-01,
752,1984-03-01,
753,1984-04-01,
754,1984-05-01,
755,1984-06-01,
756,1984-07-01,
757,1984-08-01,
758,1984-09-01,
759,1984-10-01,
760,1984-11-01,
761,1984-12-01,
762,1985-01-01,
763,1985-02-01,
764,1985-03-01,
765,1985-04-01,
766,1985-05-01,
767,1985-06-01,
768,1985-07-01,
769,1985-08-01,
770,1985-09-01,
771,1985-10-01,
772,1985-11-01,
773,1985-12-01,
0,1986-01-01,
1,1986-02-01,
2,1986-03-01,
3,1986-04-01,
4,1986-05-01,
5,1986-06-01,
6,1986-07-01,
7,1986-08-01,
8,1986-09-01,
9,1986-10-01,
10,1986-11-01,
11,1986-12-01,
12,1987-01-01,
13,1987-02-01,
14,1987-03-01,
15,1987-04-01,
16,1987-05-01,
17,1987-06-01,
18,1987-07-01,
19,1987-08-01,
20,1987-09-01,
21,1987-10-01,
22,1987-11-01,
23,1987-12-01,
24,1988-01-01,
25,1988-02-01,
26,1988-03-01,
27,1988-04-01,
28,1988-05-01,
29,1988-06-01,
30,1988-07-01,
31,1988-08-01,
32,1988-09-01,
33,1988-10-01,
34,1988-11-01,
35,1988-12-01,
36,1989-01-01,
37,1989-02-01,
38,1989-03-01,
39,1989-04-01,
40,1989-05-01,
41,1989-06-01,
42,1989-07-01,
43,1989-08-01,
44,1989-09-01,
45,1989-10-01,
46,1989-11-01,
47,1989-12-01,
48,1990-01-01,
49,1990-02-01,
50,1990-03-01,
51,1990-04-01,
52,1990-05-01,
53,1990-06-01,
54,1990-07-01,
55,1990-08-01,
56,1990-09-01,
57,1990-10-01,
58,1990-11-01,
59,1990-12-01,
60,1991-01-01,
61,1991-02-01,
62,1991-03-01,
63,1991-04-01,
64,1991-05-01,
65,1991-06-01,
66,1991-07-01,
67,1991-08-01,
68,1991-09-01,
69,1991-10-01,
70,1991-11-01,
71,1991-12-01,
72,1992-01-01,
73,1992-02-01,
74,1992-03-01,
75,1992-04-01,
76,1992-05-01,
77,1992-06-01,
78,1992-07-01,
79,1992-08-01,
80,1992-09-01,
81,1992-10-01,
82,1992-11-01,
83,1992-12-01,
84,1993-01-01,
85,1993-02-01,
86,1993-03-01,
87,1993-04-01,
88,1993-05-01,
89,1993-06-01,
90,1993-07-01,
91,1993-08-01,
92,1993-09-01,
93,1993-10-01,
94,1993-11-01,
95,1993-12-01,
96,1994-01-01,
97,1994-02-01,
98,1994-03-01,
99,1994-04-01,
100,1994-05-01,
101,1994-06-01,
102,1994-07-01,
103,1994-08-01,
104,1994-09-01,
105,1994-10-01,
106,1994-11-01,
107,1994-12-01,
108,1995-01-01,
109,1995-02-01,
110,1995-03-01,
111,1995-04-01,
112,1995-05-01,
113,1995-06-01,
114,1995-07-01,
115,1995-08-01,
116,1995-09-01,
117,1995-10-01,
118,1995-11-01,
119,1995-12-01,
120,1996-01-01,
121,1996-02-01,
122,1996-03-01,
123,1996-04-01,
124,1996-05-01,
125,1996-06-01,
126,1996-07-01,
127,1996-08-01,
128,1996-09-01,
129,1996-10-01,
130,1996-11-01,
131,1996-12-01,
132,1997-01-01,
