,date,value_og
716,1975-05-01,
717,1975-06-01,
718,1975-07-01,
719,1975-08-01,
720,1975-09-01,
721,1975-10-01,
722,1975-11-01,
723,1975-12-01,
724,1976-01-01,
725,1976-02-01,
726,1976-03-01,
727,1976-04-01,
728,1976-05-01,
729,1976-06-01,
730,1976-07-01,
731,1976-08-01,
732,1976-09-01,
733,1976-10-01,
734,1976-11-01,
735,1976-12-01,
736,1977-01-01,
737,1977-02-01,
738,1977-03-01,
739,1977-04-01,
740,1977-05-01,
741,1977-06-01,
742,1977-07-01,
743,1977-08-01,
744,1977-09-01,
745,1977-10-01,
746,1977-11-01,
747,1977-12-01,
748,1978-01-01,
749,1978-02-01,
750,1978-03-01,
751,1978-04-01,
752,1978-05-01,
753,1978-06-01,
754,1978-07-01,
755,1978-08-01,
756,1978-09-01,
757,1978-10-01,
758,1978-11-01,
759,1978-12-01,
760,1979-01-01,
761,1979-02-01,
762,1979-03-01,
763,1979-04-01,
764,1979-05-01,
765,1979-06-01,
766,1979-07-01,
767,1979-08-01,
768,1979-09-01,
769,1979-10-01,
770,1979-11-01,
771,1979-12-01,
772,1980-01-01,
0,1980-02-01,
1,1980-03-01,
2,1980-04-01,
3,1980-05-01,
4,1980-06-01,
5,1980-07-01,
6,1980-08-01,
7,1980-09-01,
8,1980-10-01,
9,1980-11-01,
10,1980-12-01,
11,1981-01-01,
12,1981-02-01,
13,1981-03-01,
14,1981-04-01,
15,1981-05-01,
16,1981-06-01,
17,1981-07-01,
18,1981-08-01,
19,1981-09-01,
20,1981-10-01,
21,1981-11-01,
22,1981-12-01,
23,1982-01-01,
24,1982-02-01,
25,1982-03-01,
26,1982-04-01,
27,1982-05-01,
28,1982-06-01,
29,1982-07-01,
30,1982-08-01,
31,1982-09-01,
32,1982-10-01,
33,1982-11-01,
34,1982-12-01,
35,1983-01-01,
36,1983-02-01,
37,1983-03-01,
38,1983-04-01,
39,1983-05-01,
40,1983-06-01,
41,1983-07-01,
42,1983-08-01,
43,1983-09-01,
44,1983-10-01,
45,1983-11-01,
46,1983-12-01,
47,1984-01-01,
48,1984-02-01,
49,1984-03-01,
50,1984-04-01,
51,1984-05-01,
52,1984-06-01,
53,1984-07-01,
54,1984-08-01,
55,1984-09-01,
56,1984-10-01,
57,1984-11-01,
58,1984-12-01,
59,1985-01-01,
60,1985-02-01,
61,1985-03-01,
