,date,value_og
318,1959-01-01,
319,1959-02-01,
320,1959-03-01,
321,1959-04-01,
322,1959-05-01,
323,1959-06-01,
324,1959-07-01,
325,1959-08-01,
326,1959-09-01,
327,1959-10-01,
328,1959-11-01,
329,1959-12-01,
330,1960-01-01,
331,1960-02-01,
332,1960-03-01,
333,1960-04-01,
334,1960-05-01,
335,1960-06-01,
336,1960-07-01,
337,1960-08-01,
338,1960-09-01,
339,1960-10-01,
340,1960-11-01,
341,1960-12-01,
342,1961-01-01,
343,1961-02-01,
344,1961-03-01,
345,1961-04-01,
346,1961-05-01,
347,1961-06-01,
348,1961-07-01,
349,1961-08-01,
350,1961-09-01,
351,1961-10-01,
352,1961-11-01,
353,1961-12-01,
354,1962-01-01,
355,1962-02-01,
356,1962-03-01,
357,1962-04-01,
358,1962-05-01,
359,1962-06-01,
360,1962-07-01,
361,1962-08-01,
362,1962-09-01,
363,1962-10-01,
364,1962-11-01,
365,1962-12-01,
366,1963-01-01,
367,1963-02-01,
368,1963-03-01,
369,1963-04-01,
370,1963-05-01,
371,1963-06-01,
372,1963-07-01,
373,1963-08-01,
374,1963-09-01,
375,1963-10-01,
376,1963-11-01,
377,1963-12-01,
378,1964-01-01,
379,1964-02-01,
380,1964-03-01,
381,1964-04-01,
382,1964-05-01,
383,1964-06-01,
384,1964-07-01,
385,1964-08-01,
386,1964-09-01,
387,1964-10-01,
388,1964-11-01,
389,1964-12-01,
390,1965-01-01,
391,1965-02-01,
392,1965-03-01,
393,1965-04-01,
394,1965-05-01,
395,1965-06-01,
396,1965-07-01,
397,1965-08-01,
398,1965-09-01,
399,1965-10-01,
400,1965-11-01,
401,1965-12-01,
402,1966-01-01,
403,1966-02-01,
404,1966-03-01,
405,1966-04-01,
406,1966-05-01,
407,1966-06-01,
408,1966-07-01,
409,1966-08-01,
410,1966-09-01,
411,1966-10-01,
412,1966-11-01,
413,1966-12-01,
414,1967-01-01,
415,1967-02-01,
416,1967-03-01,
417,1967-04-01,
418,1967-05-01,
419,1967-06-01,
420,1967-07-01,
421,1967-08-01,
422,1967-09-01,
423,1967-10-01,
424,1967-11-01,
425,1967-12-01,
426,1968-01-01,
427,1968-02-01,
428,1968-03-01,
429,1968-04-01,
430,1968-05-01,
431,1968-06-01,
432,1968-07-01,
433,1968-08-01,
434,1968-09-01,
435,1968-10-01,
436,1968-11-01,
437,1968-12-01,
438,1969-01-01,
439,1969-02-01,
440,1969-03-01,
