symbol,name,currency,market,exchange,exchange timezone
^BGTNATR,,USD,us_market,SNP,EDT
^BGTQ,,USD,us_market,SNP,EDT
^BGTQNTR,,USD,us_market,SNP,EDT
^BIE20N,Cboe Ireland 20,EUR,dr_market,STU,CEST
^BIE20P,Cboe Ireland 20,EUR,dr_market,STU,CEST
^BIT40N,Cboe Italy 40,EUR,dr_market,STU,CEST
^BIT40P,Cboe Italy 40,EUR,dr_market,STU,CEST
^BKEST,S&P/BNY Mellon Spain ADR Index ,USD,us_market,SNP,EDT
^BKX,KBW Nasdaq Bank Index,USD,us_market,NIM,EDT
^BLCN-IV,,USD,us_market,ASE,EDT
^BLOK-EU,,USD,us_market,ASE,EDT
^BLOK-IV,,USD,us_market,ASE,EDT
^BLOK-NV,,USD,us_market,ASE,EDT
^BLOK-TC,,USD,us_market,ASE,EDT
^BLS,,USD,us_market,SNP,EDT
^BLSTR,,USD,us_market,SNP,EDT
^BMLP-IV,,USD,us_market,ASE,EDT
^BNL25P,Cboe Netherlands 25,EUR,dr_market,STU,CEST
^BNLM25N,Cboe Netherlands Mid Cap 25,EUR,dr_market,STU,CEST
^BNLM25P,Cboe Netherlands Mid Cap 25,EUR,dr_market,STU,CEST
^BNO25N,Cboe Norway 25,NOK,dr_market,STU,CEST
^BNO25P,Cboe Norway 25,NOK,dr_market,STU,CEST
^BNPIC52P,,USD,us_market,SNP,EDT
^BOTZ-EU,,USD,us_market,ASE,EDT
^BOTZ-IV,,USD,us_market,ASE,EDT
^BOTZ-NV,,USD,us_market,ASE,EDT
^BOTZ-TC,,USD,us_market,ASE,EDT
^BOUT-EU,,USD,us_market,ASE,EDT
^BOUT-IV,,USD,us_market,ASE,EDT
^BOUT-NV,,USD,us_market,ASE,EDT
^BOUT-TC,,USD,us_market,ASE,EDT
^BOXR,S&P CoreLogic Case-Shiller Bost,USD,us_market,SNP,EDT
^BPT20N,Cboe Portugal 20,EUR,dr_market,STU,CEST
^BPT20P,Cboe Portugal 20,EUR,dr_market,STU,CEST
^BSE30N,Cboe Sweden 30,SEK,dr_market,STU,CEST
^BSE30P,Cboe Sweden 30,SEK,dr_market,STU,CEST
^BSESN,S&P BSE SENSEX,INR,in_market,BSE,IST
^BSOLR,,USD,us_market,SNP,EDT
^BSOLRNTR,,USD,us_market,SNP,EDT
^BTK,NYSE Arca Biotechnology Index,USD,us_market,NYS,EDT
^BTOT,,USD,us_market,SNP,EDT
^BTOTNTR,,USD,us_market,SNP,EDT
^BTOURTR,,USD,us_market,SNP,EDT
^BUBNK,,USD,us_market,SNP,EDT
^BUBNKNTR,,USD,us_market,SNP,EDT
^BUFD-EU,,USD,us_market,ASE,EDT
^BUFD-IV,,USD,us_market,ASE,EDT
^BUFD-NV,,USD,us_market,ASE,EDT
^BUFD-TC,,USD,us_market,ASE,EDT
^BUK100N,Cboe UK 100,GBP,dr_market,STU,CEST
^BUK100P,Cboe UK 100,GBP,dr_market,STU,CEST
^BUK250N,Cboe UK 250,GBP,dr_market,STU,CEST
^BUK250P,Cboe UK 250,GBP,dr_market,STU,CEST
^BUK350N,Cboe UK 350,GBP,dr_market,STU,CEST
^BUK350P,Cboe UK 350,GBP,dr_market,STU,CEST
^BUKAC,Cboe UK All Companies,GBP,dr_market,STU,CEST
^BUKBUS,Cboe UK Business Services Secto,GBP,dr_market,STU,CEST
^BUKBUSN,Cboe UK Business Services Secto,GBP,dr_market,STU,CEST
^BUKCNC,Cboe UK Consumer Non,GBP,dr_market,STU,CEST
^BUKCNCN,Cboe UK Consumer Non,GBP,dr_market,STU,CEST
^BUKCONC,Cboe UK Consumer Cyclicals Sect,GBP,dr_market,STU,CEST
^BUKCONCN,Cboe UK Consumer Cyclicals Sect,GBP,dr_market,STU,CEST
^BUKCONS,Cboe UK Consumer Services Secto,GBP,dr_market,STU,CEST
^BUKCONSN,Cboe UK Consumer Services Secto,GBP,dr_market,STU,CEST
^BUKENGY,Cboe UK Energy Sector,GBP,dr_market,STU,CEST
^BUKENGYN,Cboe UK Energy Sector,GBP,dr_market,STU,CEST
^BUKFIN,Cboe UK Finance Sector,GBP,dr_market,STU,CEST
^BUKFINN,Cboe UK Finance Sector,GBP,dr_market,STU,CEST
^BUKHI50N,Cboe Brexit High 50,GBP,dr_market,STU,CEST
^BUKHI50P,Cboe Brexit High 50,GBP,dr_market,STU,CEST
^BUKHLTH,Cboe UK Healthcare Sector,GBP,dr_market,STU,CEST
^BUKHLTHN,Cboe UK Healthcare Sector,GBP,dr_market,STU,CEST
^BUKIND,Cboe UK Industrials Sector,GBP,dr_market,STU,CEST
^BUKINDN,Cboe UK Industrials Sector,GBP,dr_market,STU,CEST
^BUKLO50N,Cboe Brexit Low 50,GBP,dr_market,STU,CEST
^BUKLO50P,Cboe Brexit Low 50,GBP,dr_market,STU,CEST
^BUKNEM,Cboe UK Non,GBP,dr_market,STU,CEST
^BUKNEMN,Cboe UK Non,GBP,dr_market,STU,CEST
^BUKSC,Cboe UK Small Companies,GBP,dr_market,STU,CEST
^BUKSCN,Cboe UK Small Companies,GBP,dr_market,STU,CEST
^BUKTEC,Cboe UK Technology Sector,GBP,dr_market,STU,CEST
^BUKTECN,Cboe UK Technology Sector,GBP,dr_market,STU,CEST
^BUKTEL,Cboe UK Telecommunications Sect,GBP,dr_market,STU,CEST
^BUKTELN,Cboe UK Telecommunications Sect,GBP,dr_market,STU,CEST
^BUKUTL,Cboe UK Utilities Sector,GBP,dr_market,STU,CEST
^BUKUTLN,Cboe UK Utilities Sector,GBP,dr_market,STU,CEST
^BUZZ-EU,,USD,us_market,ASE,EDT
^BUZZ-IV,,USD,us_market,ASE,EDT
^BUZZ-NV,,USD,us_market,ASE,EDT
^BUZZ-TC,,USD,us_market,ASE,EDT
^BVLG,PSI ALL-SHARE GR,EUR,pt_market,LIS,WEST
^BVSP,IBOVESPA,BRL,br_market,SAO,BRT
^BXEA,,USD,us_market,WCB,EDT
^BXEF,,USD,us_market,WCB,EDT
^BXM,Buy write Monthly Index,USD,us_market,WCB,EDT
^BXMH,,USD,us_market,WCB,EDT
^BXMVM,,USD,us_market,WCB,EDT
^BXR,CBOE RUSSELL 2000 BUY WRITE IND,USD,us_market,WCB,EDT
^BXRC,CBOE Russell 2000 Conditional B,USD,us_market,WCB,EDT
^BXRD,CBOE Russell 2000 30-Delta BuyW,USD,us_market,WCB,EDT
^BXRT,CBOE RUSSELL 2000 30-Delta BuyW,USD,us_market,WCB,EDT
^BXTW,,USD,us_market,WCB,EDT
^BYEA,,USD,us_market,WCB,EDT
^BYEF,,USD,us_market,WCB,EDT
^CBHEUAG,,USD,us_market,WCB,EDT
^CBHEUAGN,,USD,us_market,WCB,EDT
^CBHEUAGT,,USD,us_market,WCB,EDT
^CBHEUSB,,USD,us_market,WCB,EDT
^CBHEUSBN,,USD,us_market,WCB,EDT
^CBHEUSBT,,USD,us_market,WCB,EDT
^CBHEUSG,,USD,us_market,WCB,EDT
^CBHEUSGN,,USD,us_market,WCB,EDT
^CBHEUSGT,,USD,us_market,WCB,EDT
^CBHUSAG,,USD,us_market,WCB,EDT
^CBHUSAGN,,USD,us_market,WCB,EDT
^CBHUSAGT,,USD,us_market,WCB,EDT
^CBHUSSB,,USD,us_market,WCB,EDT
^CBHUSSBN,,USD,us_market,WCB,EDT
^CBHUSSBT,,USD,us_market,WCB,EDT
^CBHUSSG,,USD,us_market,WCB,EDT
^CBHUSSGN,,USD,us_market,WCB,EDT
^CBHUSSGT,,USD,us_market,WCB,EDT
^CDSPG,,USD,us_market,WCB,EDT
^CDSPT,,USD,us_market,WCB,EDT
^CDSPV,,USD,us_market,WCB,EDT
^CEF-NV,,USD,us_market,ASE,EDT
^CEX,CHEMICALS INDEX,USD,us_market,WCB,EDT
^CEXR,S&P CoreLogic Case-Shiller Clev,USD,us_market,SNP,EDT
^CLALL,CLASSIC ALL SH. TR,EUR,de_market,GER,CEST
^CLLR,CBOE Russell 2000 Zero-Cost Put,USD,us_market,WCB,EDT
^CM100,CAC MID 60,EUR,fr_market,PAR,CEST
^CMBOEA,,USD,us_market,WCB,EDT
^CMBOEF,,USD,us_market,WCB,EDT
^CMC200,CMC Crypto 200 Index by Solacti,USD,us_market,NIM,EDT
^CMC200EX,CMC Crypto 200 ex BTC Index by ,USD,us_market,NIM,EDT
^CN20,CAC NEXT 20,EUR,fr_market,PAR,CEST
^CNDREA,,USD,us_market,WCB,EDT
^CNDREF,,USD,us_market,WCB,EDT
^CNX100,NIFTY 100,INR,in_market,NSI,IST
^CNXAUTO,NIFTY AUTO,INR,in_market,NSI,IST
^CNXCMDT,NIFTY COMMODITIES,INR,in_market,NSI,IST
^CNXCONSUM,NIFTY CONSUMPTION,INR,in_market,NSI,IST
^CNXDIVOP,NIFTY DIV OPPS 50,INR,in_market,NSI,IST
^CNXENERGY,NIFTY ENERGY,INR,in_market,NSI,IST
^CNXFMCG,NIFTY FMCG,INR,in_market,NSI,IST
^CNXINFRA,NIFTY INFRA,INR,in_market,NSI,IST
^CNXIT,NIFTY IT,INR,in_market,NSI,IST
^CNXMEDIA,NIFTY MEDIA,INR,in_market,NSI,IST
^CNXMETAL,NIFTY METAL,INR,in_market,NSI,IST
^CNXMNC,NIFTY MNC,INR,in_market,NSI,IST
^CNXPSE,NIFTY PSE,INR,in_market,NSI,IST
^CNXPSUBANK,NIFTY PSU BANK,INR,in_market,NSI,IST
^CNXREALTY,NIFTY REALTY,INR,in_market,NSI,IST
^CNXSERVICE,NIFTY SERV SECTOR,INR,in_market,NSI,IST
^CNYA-EU,,USD,us_market,ASE,EDT
^CNYA-IV,,USD,us_market,ASE,EDT
^CNYA-NV,,USD,us_market,ASE,EDT
^CNYA-TC,,USD,us_market,ASE,EDT
^CRSLDX,NIFTY 500,INR,in_market,NSI,IST
^CRXR,S&P CoreLogic Case-Shiller Char,USD,us_market,SNP,EDT
^CS90,CAC SMALL,EUR,fr_market,PAR,CEST
^CTL,Czech Traded Index in CZK,CZK,at_market,VIE,CEST
^CTXUSD,Czech Traded Index in USD,USD,at_market,VIE,CEST
^CXKAX,DAXSECTOR AUTOMOB. PR,EUR,de_market,GER,CEST
